Origin,Destination,Mode,Distance (m),Duration (s),Traffic Duration (s),Timestamp,TTR,Day_Type,Temporal_Block,Day_Label ,Segment ,
"Sravasthipura, Anuradhapura","89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",driving,3831,487,466,"2/15/2026, 10:30:56 PM",0.95687885,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Sravasthipura, Anuradhapura ? 89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",driving,4188,454,403,"2/15/2026, 10:30:56 PM",0.887665198,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,3083,313,269,"2/15/2026, 10:30:56 PM",0.85942492,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,2780,382,332,"2/15/2026, 10:30:56 PM",0.869109948,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,2009,237,210,"2/15/2026, 10:30:56 PM",0.886075949,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Market Junction, Anuradhapura",driving,4995,598,545,"2/15/2026, 10:30:56 PM",0.911371237,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Market Junction, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,1943,234,216,"2/15/2026, 10:30:56 PM",0.923076923,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"Market Junction, Anuradhapura","9C49+85P, Anuradhapura",driving,6177,786,644,"2/15/2026, 10:30:56 PM",0.819338422,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Market Junction, Anuradhapura ? 9C49+85P, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",driving,1693,217,188,"2/15/2026, 10:30:56 PM",0.866359447,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,1462,236,170,"2/15/2026, 10:30:56 PM",0.720338983,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1350,174,145,"2/15/2026, 10:30:56 PM",0.833333333,Normal Weekend,Night Clearance,Normal Weekend Baseline,"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,813,165,109,"2/15/2026, 10:30:56 PM",0.660606061,Normal Weekend,Night Clearance,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1718,290,216,"2/15/2026, 10:30:56 PM",0.744827586,Normal Weekend,Night Clearance,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"Hospital Roundabout, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5488,548,490,"2/15/2026, 10:30:56 PM",0.894160584,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Hospital Roundabout, Anuradhapura","Wijayapura, Anuradhapura",driving,1866,272,246,"2/15/2026, 10:30:56 PM",0.904411765,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? Wijayapura, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1994,254,229,"2/15/2026, 10:30:56 PM",0.901574803,Normal Weekend,Night Clearance,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Wijayapura, Anuradhapura",driving,2662,348,322,"2/15/2026, 10:30:56 PM",0.925287356,Normal Weekend,Night Clearance,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Wijayapura, Anuradhapura",
"Wijayapura, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1577,212,195,"2/15/2026, 10:30:56 PM",0.919811321,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"Wijayapura, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5125,588,544,"2/15/2026, 10:30:56 PM",0.925170068,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Sravasthipura, Anuradhapura","89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",driving,3831,487,470,"2/15/2026, 10:45:56 PM",0.965092402,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Sravasthipura, Anuradhapura ? 89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",driving,4188,454,394,"2/15/2026, 10:45:56 PM",0.86784141,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,3083,313,264,"2/15/2026, 10:45:56 PM",0.843450479,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,2780,382,310,"2/15/2026, 10:45:56 PM",0.811518325,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,2009,237,206,"2/15/2026, 10:45:56 PM",0.869198312,Normal Weekend,Night Clearance,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Market Junction, Anuradhapura",driving,4995,598,540,"2/15/2026, 10:45:56 PM",0.903010033,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Market Junction, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,1943,234,216,"2/15/2026, 10:45:56 PM",0.923076923,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"Market Junction, Anuradhapura","9C49+85P, Anuradhapura",driving,6177,786,639,"2/15/2026, 10:45:56 PM",0.812977099,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Market Junction, Anuradhapura ? 9C49+85P, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",driving,1693,217,187,"2/15/2026, 10:45:56 PM",0.861751152,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,1462,236,177,"2/15/2026, 10:45:56 PM",0.75,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1350,174,143,"2/15/2026, 10:45:56 PM",0.82183908,Normal Weekend,Night Clearance,Normal Weekend Baseline,"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,813,165,105,"2/15/2026, 10:45:56 PM",0.636363636,Normal Weekend,Night Clearance,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1718,290,204,"2/15/2026, 10:45:56 PM",0.703448276,Normal Weekend,Night Clearance,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"Hospital Roundabout, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5488,548,484,"2/15/2026, 10:45:56 PM",0.883211679,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Hospital Roundabout, Anuradhapura","Wijayapura, Anuradhapura",driving,1866,272,249,"2/15/2026, 10:45:56 PM",0.915441176,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? Wijayapura, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1994,254,220,"2/15/2026, 10:45:56 PM",0.866141732,Normal Weekend,Night Clearance,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Wijayapura, Anuradhapura",driving,2662,348,313,"2/15/2026, 10:45:56 PM",0.899425287,Normal Weekend,Night Clearance,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Wijayapura, Anuradhapura",
"Wijayapura, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1577,212,191,"2/15/2026, 10:45:56 PM",0.900943396,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"Wijayapura, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5125,588,544,"2/15/2026, 10:45:56 PM",0.925170068,Normal Weekend,Night Clearance,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Sravasthipura, Anuradhapura","89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",driving,3831,487,477,"2/15/2026, 11:00:56 PM",0.979466119,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Sravasthipura, Anuradhapura ? 89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",driving,4188,454,388,"2/15/2026, 11:00:56 PM",0.854625551,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,3083,313,258,"2/15/2026, 11:00:56 PM",0.82428115,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,2780,382,297,"2/15/2026, 11:00:56 PM",0.777486911,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,2009,237,203,"2/15/2026, 11:00:56 PM",0.856540084,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Market Junction, Anuradhapura",driving,4995,598,525,"2/15/2026, 11:00:56 PM",0.877926421,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Market Junction, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,1943,234,213,"2/15/2026, 11:00:56 PM",0.91025641,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"Market Junction, Anuradhapura","9C49+85P, Anuradhapura",driving,5768,816,592,"2/15/2026, 11:00:56 PM",0.725490196,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Market Junction, Anuradhapura ? 9C49+85P, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",driving,1693,217,186,"2/15/2026, 11:00:56 PM",0.857142857,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,1462,236,173,"2/15/2026, 11:00:56 PM",0.733050847,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1350,174,146,"2/15/2026, 11:00:56 PM",0.83908046,Normal Weekend,Off-Peak,Normal Weekend Baseline,"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,813,165,108,"2/15/2026, 11:00:56 PM",0.654545455,Normal Weekend,Off-Peak,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1718,290,212,"2/15/2026, 11:00:56 PM",0.731034483,Normal Weekend,Off-Peak,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"Hospital Roundabout, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5488,548,477,"2/15/2026, 11:00:56 PM",0.870437956,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Hospital Roundabout, Anuradhapura","Wijayapura, Anuradhapura",driving,1866,272,244,"2/15/2026, 11:00:56 PM",0.897058824,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? Wijayapura, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1994,254,211,"2/15/2026, 11:00:56 PM",0.830708661,Normal Weekend,Off-Peak,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Wijayapura, Anuradhapura",driving,2662,348,300,"2/15/2026, 11:00:56 PM",0.862068966,Normal Weekend,Off-Peak,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Wijayapura, Anuradhapura",
"Wijayapura, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1577,212,189,"2/15/2026, 11:00:56 PM",0.891509434,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"Wijayapura, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5125,588,538,"2/15/2026, 11:00:56 PM",0.914965986,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Sravasthipura, Anuradhapura","89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",driving,3831,487,473,"2/15/2026, 11:15:56 PM",0.971252567,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Sravasthipura, Anuradhapura ? 89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",driving,4188,454,388,"2/15/2026, 11:15:56 PM",0.854625551,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,3083,313,255,"2/15/2026, 11:15:56 PM",0.814696486,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,2780,382,290,"2/15/2026, 11:15:56 PM",0.759162304,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,2009,237,200,"2/15/2026, 11:15:56 PM",0.843881857,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Market Junction, Anuradhapura",driving,4995,598,497,"2/15/2026, 11:15:56 PM",0.831103679,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Market Junction, Anuradhapura",
"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,1943,234,210,"2/15/2026, 11:15:56 PM",0.897435897,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"Market Junction, Anuradhapura","9C49+85P, Anuradhapura",driving,5768,816,594,"2/15/2026, 11:15:56 PM",0.727941176,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Market Junction, Anuradhapura ? 9C49+85P, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",driving,1693,217,184,"2/15/2026, 11:15:56 PM",0.847926267,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CM7+HG3, Dutugemunu Roundabout, Anuradhapura",
"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,1462,236,170,"2/15/2026, 11:15:56 PM",0.720338983,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1350,174,143,"2/15/2026, 11:15:56 PM",0.82183908,Normal Weekend,Off-Peak,Normal Weekend Baseline,"8CM7+HG3, Dutugemunu Roundabout, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,813,165,109,"2/15/2026, 11:15:56 PM",0.660606061,Normal Weekend,Off-Peak,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura","Hospital Roundabout, Anuradhapura",driving,1718,290,193,"2/15/2026, 11:15:56 PM",0.665517241,Normal Weekend,Off-Peak,Normal Weekend Baseline,"8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura ? Hospital Roundabout, Anuradhapura",
"Hospital Roundabout, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5488,548,472,"2/15/2026, 11:15:56 PM",0.861313869,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Hospital Roundabout, Anuradhapura","Wijayapura, Anuradhapura",driving,1866,272,243,"2/15/2026, 11:15:56 PM",0.893382353,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Hospital Roundabout, Anuradhapura ? Wijayapura, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1994,254,213,"2/15/2026, 11:15:56 PM",0.838582677,Normal Weekend,Off-Peak,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"899X+44M, Unnamed Road, Anuradhapura","Wijayapura, Anuradhapura",driving,2662,348,300,"2/15/2026, 11:15:56 PM",0.862068966,Normal Weekend,Off-Peak,Normal Weekend Baseline,"899X+44M, Unnamed Road, Anuradhapura ? Wijayapura, Anuradhapura",
"Wijayapura, Anuradhapura","Lenin Mawatha, Anuradhapura",driving,1577,212,187,"2/15/2026, 11:15:56 PM",0.882075472,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? Lenin Mawatha, Anuradhapura",
"Wijayapura, Anuradhapura","622 Galkulama - Anuradhapura Rd, Dambulla 21100",driving,5125,588,534,"2/15/2026, 11:15:56 PM",0.908163265,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Wijayapura, Anuradhapura ? 622 Galkulama - Anuradhapura Rd, Dambulla 21100",
"Sravasthipura, Anuradhapura","89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",driving,3831,487,461,"2/15/2026, 11:30:56 PM",0.94661191,Normal Weekend,Off-Peak,Normal Weekend Baseline,"Sravasthipura, Anuradhapura ? 89CJ+9H5, D S Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",driving,4188,454,384,"2/15/2026, 11:30:56 PM",0.845814978,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Sri Maha Bodhi Vehicle Park, Sri Maha Bodhi Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",driving,3083,313,255,"2/15/2026, 11:30:56 PM",0.814696486,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? Buddha Jayanthi Roundabout, Buddha Jayanthi Round About, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",driving,2780,382,298,"2/15/2026, 11:30:56 PM",0.780104712,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 8CF3+64J, Maithripala Senanayake Mawatha, Anuradhapura",
"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura","899X+44M, Unnamed Road, Anuradhapura",driving,2009,237,201,"2/15/2026, 11:30:56 PM",0.848101266,Normal Weekend,Off-Peak,Normal Weekend Baseline,"89CJ+9H5, D S Senanayake Mawatha, Anuradhapura ? 899X+44M, Unnamed Road, Anuradhapura",
